Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Cr)
2023-07-05,1010.00,1016.50,1003.55,1007.35,1006.85,17822,61.8413878
2023-07-04,1010.60,1029.00,1004.85,1006.85,1008.05,53767,206.7444722
2023-07-03,1004.00,1016.50,1001.00,1008.05,1001.40,22965,82.4227464
2023-06-30,1002.00,1007.45,993.05,1001.40,996.25,28861,89.4285323
2023-06-28,1010.00,1015.65,993.05,996.25,1006.25,31836,112.1361451
2023-06-27,993.95,1020.00,993.95,1006.25,993.95,47722,205.4129582
2023-06-26,981.95,997.00,970.05,993.95,980.05,28488,94.9412734
2023-06-23,1008.90,1009.00,976.40,980.05,1004.55,40211,127.5738444
2023-06-22,1003.50,1009.80,992.20,1004.55,997.20,41551,168.9695392
2023-06-21,988.45,999.00,977.15,997.20,983.50,43405,174.1616120
2023-06-20,980.00,986.00,974.05,983.50,978.45,23644,124.3653876
2023-06-19,972.40,980.00,967.80,978.45,970.95,26718,112.7378769
2023-06-16,959.00,972.75,956.00,970.95,958.50,35147,135.0666617
2023-06-15,969.00,970.80,953.50,958.50,977.95,78056,345.5685175
2023-06-14,973.95,981.90,957.90,977.95,1000.05,88944,316.4771631
2023-06-13,990.00,1006.00,989.05,1000.05,987.75,42495,123.7977453
2023-06-12,990.00,991.85,983.15,987.75,985.95,18776,59.3532047
2023-06-09,1004.00,1008.10,981.15,985.95,1003.25,29470,95.0123666
2023-06-08,999.00,1015.00,997.05,1003.25,994.75,39624,139.9640697
2023-06-07,997.45,1000.00,991.30,994.75,993.75,16591,48.2677574
2023-06-06,1000.00,1007.10,988.80,993.75,995.55,34710,96.3880466
2023-06-05,979.60,1017.95,976.85,995.55,969.80,1052012,517.7398710
2023-06-02,970.00,979.40,968.00,969.80,968.95,17017,50.2861579
2023-06-01,972.00,976.90,966.15,968.95,970.60,18683,40.3001856
2023-05-31,971.00,972.50,964.00,970.60,969.10,21327,68.7943987
2023-05-30,974.40,975.00,963.50,969.10,971.85,19276,46.3102248
2023-05-29,972.30,975.85,967.65,971.85,970.25,14376,44.3819520
2023-05-26,960.00,972.25,955.00,970.25,956.70,21565,67.7828873
2023-05-25,988.45,989.65,946.05,956.70,987.10,52122,155.5654149
2023-05-24,984.20,998.65,975.00,987.10,981.90,24053,72.1452197
2023-05-23,987.00,994.00,980.00,981.90,987.20,17354,61.9729669
2023-05-22,986.95,994.00,975.50,987.20,984.15,14471,65.8659650
2023-05-19,989.40,991.00,974.35,984.15,984.65,19937,83.0017380
2023-05-18,987.95,992.50,980.05,984.65,982.10,19172,67.4144680
2023-05-17,980.00,984.55,966.60,982.10,976.80,19447,76.0912969
2023-05-16,994.00,995.95,975.00,976.80,990.10,22924,44.6170316
2023-05-15,989.90,993.70,979.15,990.10,985.20,12863,41.7789424
2023-05-12,991.00,995.90,982.15,985.20,988.60,22177,70.9260144
2023-05-11,977.00,990.00,975.55,988.60,974.50,30967,96.0728214
2023-05-10,972.05,976.35,963.60,974.50,965.85,28153,87.7029211
2023-05-09,972.65,978.95,964.00,965.85,969.95,23783,82.0067664
2023-05-08,965.00,973.90,960.50,969.95,959.50,23872,83.1293117
2023-05-05,987.05,987.25,958.00,959.50,982.25,42547,147.7505288
2023-05-04,999.95,1017.85,970.00,982.25,993.10,89932,363.7414516
2023-05-03,971.95,996.90,969.00,993.10,972.00,32803,107.9048773
2023-05-02,955.30,987.90,954.55,972.00,952.70,36585,133.7320427
2023-04-28,947.95,959.00,944.00,952.70,943.70,25268,70.2316920
2023-04-27,934.85,945.25,929.05,943.70,931.60,17962,66.8758235
2023-04-26,943.95,948.90,930.00,931.60,944.40,33416,100.6265615
2023-04-25,951.00,954.45,941.50,944.40,948.50,20138,69.0809437
2023-04-24,946.95,949.40,942.85,948.50,944.45,13439,43.6402755
2023-04-21,945.55,948.80,937.50,944.45,942.70,21930,78.9043534
2023-04-20,930.20,945.50,927.00,942.70,933.40,39860,131.2590810
2023-04-19,934.00,939.90,921.65,933.40,932.10,49119,178.2929827
2023-04-18,980.00,980.00,926.05,932.10,990.85,165520,581.8718087
2023-04-17,1022.00,1029.90,986.65,990.85,1026.15,26618,61.3918080
2023-04-13,1020.00,1029.00,1016.50,1026.15,1020.65,19265,47.9729590
2023-04-12,1018.00,1027.00,1012.05,1020.65,1016.80,28639,59.9495182
2023-04-11,1008.00,1018.45,1002.60,1016.80,1003.65,21524,62.6540836
2023-04-10,993.95,1004.75,985.00,1003.65,989.15,23671,64.6350855
2023-04-06,975.70,990.00,972.40,989.15,975.60,20030,38.6484965
2023-04-05,975.05,977.00,959.25,975.60,977.15,20683,46.4732565
2023-04-03,979.95,983.00,973.10,977.15,972.45,17638,39.0320295
2023-03-31,959.55,981.05,958.05,972.45,954.75,24782,67.0091507
2023-03-29,953.80,961.00,945.00,954.75,953.80,21921,57.7778913
2023-03-28,956.45,960.15,950.40,953.80,955.05,14701,47.5879164
2023-03-27,954.00,960.65,948.15,955.05,953.95,22465,35.6032455
2023-03-24,964.00,970.00,950.00,953.95,968.10,23654,54.8984238
2023-03-23,960.00,971.85,952.05,968.10,961.50,26952,63.6186181
2023-03-22,953.00,965.80,951.30,961.50,953.20,20060,33.6827085
2023-03-21,951.00,957.70,948.00,953.20,950.40,19896,34.9522331
2023-03-20,962.40,962.40,934.25,950.40,963.10,24508,66.3339350
2023-03-17,963.40,969.60,957.50,963.10,958.50,24602,55.9924485
2023-03-16,965.95,965.95,943.25,958.50,963.30,35034,60.5972946
2023-03-15,977.00,983.50,960.00,963.30,966.50,13582,33.1099535
2023-03-14,967.70,975.00,954.00,966.50,965.15,27964,59.7768660
2023-03-13,980.00,985.10,961.30,965.15,980.75,29368,62.1586621
2023-03-10,988.00,989.85,970.80,980.75,993.25,23642,52.3833286
2023-03-09,1011.00,1015.90,990.65,993.25,1010.80,25468,59.7398163
2023-03-08,1001.80,1016.00,992.10,1010.80,1002.05,29717,63.7307279
2023-03-06,1010.95,1011.95,999.55,1002.05,1007.95,37809,77.8936558
2023-03-03,990.10,1013.00,989.10,1007.95,989.10,33800,94.8440934
2023-03-02,997.00,998.15,984.90,989.10,994.50,35331,57.0154867
2023-03-01,972.00,999.00,972.00,994.50,975.00,27296,60.2688951
2023-02-28,976.00,980.95,965.20,975.00,974.85,25179,69.6946931
2023-02-27,972.00,984.50,961.10,974.85,972.10,44684,159.9978874
2023-02-24,978.00,984.65,968.50,972.10,972.85,29277,81.7928650
2023-02-23,969.00,989.90,962.25,972.85,965.20,39561,104.6037681
2023-02-22,1000.25,1001.60,958.55,965.20,1000.25,46540,174.8240522
2023-02-21,1012.00,1017.95,998.00,1000.25,1010.95,19534,57.9524847
2023-02-20,1020.65,1025.70,1004.50,1010.95,1018.85,32444,60.6385573
2023-02-17,1024.05,1033.35,1015.55,1018.85,1024.90,23557,47.7540324
2023-02-16,1013.00,1035.00,1011.10,1024.90,1010.65,36145,116.0631078
2023-02-15,1009.95,1019.90,1004.10,1010.65,1009.95,25813,63.3179647
2023-02-14,1019.00,1023.65,1007.25,1009.95,1017.30,15869,39.1542522
2023-02-13,1020.70,1028.00,1009.35,1017.30,1020.30,21723,57.1132756
2023-02-10,1013.20,1026.20,1004.00,1020.30,1012.55,34429,73.8152363
2023-02-09,1021.00,1036.00,1010.75,1012.55,1029.40,39971,67.3341399
2023-02-08,1032.00,1041.25,1011.50,1029.40,1030.95,42681,103.0689690
2023-02-07,1011.75,1040.00,1003.20,1030.95,1006.70,81143,269.0023879
2023-02-06,970.00,1010.00,967.05,1006.70,969.95,44787,119.7111313
2023-02-03,968.60,999.00,961.05,969.95,967.25,58268,138.8547284
2023-02-02,948.10,986.75,912.00,967.25,956.15,1050352,263.1993676
2023-02-01,980.00,985.10,942.45,956.15,973.40,65288,114.1089874
2023-01-31,958.00,979.00,955.00,973.40,955.35,37694,73.6589683
2023-01-30,945.00,960.70,936.40,955.35,945.00,32837,52.2733305
2023-01-27,954.65,960.30,929.40,945.00,950.40,30674,61.1006640
2023-01-25,970.00,970.00,948.40,950.40,971.80,31268,59.5621282
2023-01-24,977.15,984.00,967.05,971.80,977.15,18252,43.2911813
2023-01-23,975.85,978.65,971.20,977.15,975.85,14255,28.3455038
2023-01-20,981.00,987.70,973.00,975.85,980.45,20048,41.0110513
2023-01-19,997.00,998.95,978.30,980.45,998.95,24005,59.0489593
2023-01-18,991.55,1000.50,988.35,998.95,987.20,30090,73.1166845
2023-01-17,975.25,989.15,970.35,987.20,970.35,33905,87.0784787
2023-01-16,976.60,981.80,969.50,970.35,974.60,22718,34.7506948
2023-01-13,973.95,976.00,964.05,974.60,973.25,18740,37.9062956
2023-01-12,971.75,978.60,969.00,973.25,967.75,23805,57.7761158
2023-01-11,973.00,975.00,962.40,967.75,968.55,27727,62.2885717
2023-01-10,959.20,972.40,953.15,968.55,958.30,36783,90.0085581
2023-01-09,950.00,960.90,947.50,958.30,948.30,31045,62.3883046
2023-01-06,942.15,956.00,938.50,948.30,942.15,35823,104.4342926
2023-01-05,934.70,946.30,925.85,942.15,931.65,28760,78.0062863
2023-01-04,942.00,943.85,926.05,931.65,941.70,24620,67.9121072
2023-01-03,945.00,948.60,938.15,941.70,941.35,17487,47.0006685
2023-01-02,941.85,943.70,930.15,941.35,937.15,35539,69.9591761
2022-12-30,931.60,947.00,930.80,937.15,928.55,27280,82.1086699
